Accident Type Desc,ACCIDENTDATE,ACCIDENTTIME,Day Week Description,DAY_OF_WEEK,DCA Description,DCA_CODE,Deg Urban Name,DIRECTORY,GRID_REFERENCE_X,LGA_NAME,Light Condition Desc,NODE_ID,NODE_ID (NODE.csv),NODE_TYPE,PAGE,Postcode No,Region Name,Road Geometry Desc,ACCIDENT_NO,ACCIDENT_NO (NODE.csv),ACCIDENT_TYPE,AMG_X,AMG_Y,EDITION,GRID_REFERENCE_Y,Lat,LIGHT_CONDITION,Long,NO_OF_VEHICLES,NO_PERSONS,NO_PERSONS_INJ_2,NO_PERSONS_INJ_3,NO_PERSONS_KILLED,NO_PERSONS_NOT_INJ,POLICE_ATTEND,ROAD_GEOMETRY,SEVERITY,SPEED_ZONE
Collision with a fixed object,1/01/2005,03.28.00,Saturday,7,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE      ,173,Country,MEL,G,MORNINGTON PENINSULA,Dark No street lights,194542,194542,N,168,3941,METROPOLITAN SOUTH EAST REGION,Not at intersection,52005001413,52005001413,4,2484948.544,2345021.452,40,11,-38.39627,5,144.82773,1,2,0,2,0,0,1,5,3,80
Collision with vehicle,1/01/2005,00.30.00,Saturday,7,OTHER ON PATH                        ,169,Metropolitan Excluding CBD,MEL,H,MORNINGTON PENINSULA,Dark Street lights on,194541,194541,N,169,3940,METROPOLITAN SOUTH EAST REGION,Not at intersection,52005001426,52005001426,1,2488994.864,2347735.477,40,4,-38.37188,3,144.87408,2,1,0,1,0,0,1,5,3,50
Collision with vehicle,1/01/2005,22.18.00,Saturday,7,CROSS TRAFFIC(INTERSECTIONS ONLY)              ,110,Metropolitan Excluding CBD,MEL,D,DANDENONG,Dark Street lights on,799,799,I,80,3174,METROPOLITAN SOUTH EAST REGION,Cross intersection,52005001566,52005001566,1,2514860.223,2393261.863,40,12,-37.9617,3,145.1691,2,4,0,1,0,3,1,1,3,60
Collision with a fixed object,1/01/2005,04.10.00,Saturday,7,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE       ,171,Country,VCS,G,EAST GIPPSLAND,Dark No street lights,194648,194648,N,83,3864,EASTERN REGION,Not at intersection,52005001711,52005001711,4,2704712.884,2400188.061,9,8,-37.87687,5,147.32715,1,1,1,0,0,0,1,5,2,100
Collision with vehicle,1/01/2005,14.45.00,Saturday,7,LANE SIDE SWIPE (VEHICLES IN PARALLEL LANES)        ,133,Country,MEL,A,BASS COAST,Day,194629,194629,N,732,3922,EASTERN REGION,Not at intersection,52005001790,52005001790,1,2521584.481,2335479.679,40,5,-38.48208,1,145.24733,3,4,1,0,0,3,1,5,2,100
Collision with vehicle,1/01/2005,10.52.00,Saturday,7,VEHICLE STRIKES ANOTHER VEH WHILE EMERGING FROM DRIVEWAY,147,Metropolitan Excluding CBD,MEL,H,MORNINGTON PENINSULA,Day,194625,194625,N,154,3915,METROPOLITAN SOUTH EAST REGION,Not at intersection,52005001867,52005001867,1,2516400.47,2354541.569,40,12,-38.31049,1,145.1875,2,4,0,1,0,3,1,5,3,50
Collision with a fixed object,1/01/2005,17.40.00,Saturday,7,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE       ,171,Country,VCS,C,EAST GIPPSLAND,Day,195273,195273,N,684,3888,EASTERN REGION,Not at intersection,52005002844,52005002844,4,2805304.009,2417215.909,9,7,-37.69596,1,148.46277,1,1,1,0,0,0,1,5,2,60
Collision with a fixed object,1/01/2005,17.40.00,Saturday,7,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE       ,171,Other Towns,VCS,C,EAST GIPPSLAND,Day,195273,195273,N,684,3888,EASTERN REGION,Not at intersection,52005002844,52005002844,4,2805304.009,2417215.909,9,7,-37.69596,1,148.46277,1,1,1,0,0,0,1,5,2,60
Vehicle overturned (no collision),1/01/2005,18.30.00,Saturday,7,OFF CARRIAGEWAY TO RIGHT                  ,172,Country,MEL,E,CASEY,Day,195089,195089,N,139,3978,METROPOLITAN SOUTH EAST REGION,Not at intersection,52005005854,52005005854,6,2530761.321,2370499.488,40,8,-38.16638,1,145.351,1,1,0,1,0,0,2,5,3,100
Collision with a fixed object,1/01/2005,03.00.00,Saturday,7,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE       ,171,Metropolitan Excluding CBD,MEL,J,WHITEHORSE,Dark Street lights on,114239,114239,N,48,3132,METROPOLITAN SOUTH EAST REGION,Cross intersection,42005015609,42005015609,4,2516951.801,2409370.741,40,9,-37.81653,3,145.19253,1,1,1,0,0,0,1,1,2,70
Collision with vehicle,2/01/2005,13.50.00,Sunday,1,CROSS TRAFFIC(INTERSECTIONS ONLY)              ,110,Country,VCS,F,SHEPPARTON,Day,51310,51310,I,32,3629,NORTH EASTERN REGION,Cross intersection,32005001032,32005001032,1,2528123.721,2568908.302,9,8,-36.37855,1,145.31345,2,3,1,0,1,1,1,1,1,100
Collision with vehicle,2/01/2005,22.40.00,Sunday,1,VEHICLE COLLIDES WITH VEHICLE PARKED ON LEFT OF ROAD    ,160,Small Provincial Cities,VCS,R,SHEPPARTON,Dark Street lights on,194554,194554,N,675,3630,NORTH EASTERN REGION,Not at intersection,32005001304,32005001304,1,2537014.9,2566600.666,9,1,-36.39904,3,145.41266,2,1,0,1,0,0,1,5,3,50
Collision with vehicle,2/01/2005,07.00.00,Sunday,1,RIGHT THROUGH                        ,121,Large Provincial Cities,VCS,E,BENDIGO,Day,1254,1254,I,608,3550,NORTHERN REGION,Cross intersection,32005001863,32005001863,1,2439061.85,2526460.488,9,6,-36.75956,1,144.31743,2,3,2,0,0,1,1,1,2,70
Struck animal,2/01/2005,12.00.00,Sunday,1,STRUCK ANIMAL                        ,167,Country,VCS,G,BENDIGO,Day,194837,194837,N,30,3570,NORTHERN REGION,Not at intersection,32005002766,32005002766,3,2442639.109,2555523.517,9,9,-36.49786,1,144.35969,1,1,1,0,0,0,2,5,2,100
Collision with vehicle,2/01/2005,16.30.00,Sunday,1,REAR END(VEHICLES IN SAME LANE)               ,130,Metropolitan Excluding CBD,MEL,F,HUME,Day,1303,1303,I,7,3061,METROPOLITAN NORTH WEST REGION,Cross intersection,32005005481,32005005481,1,2496011.83,2425954.466,40,4,-37.66725,1,144.95479,2,2,0,1,0,1,2,1,3,70
Collision with vehicle,2/01/2005,12.05.00,Sunday,1,HEAD ON (NOT OVERTAKING)                  ,120,Other Towns,VCS,F,MURRINDINDI,Day,194555,194555,N,680,3714,NORTH EASTERN REGION,Not at intersection,42005001310,42005001310,1,2563384.67,2478614.7,9,3,-37.19058,1,145.71399,2,2,2,0,0,0,1,5,2,60
No collision and no object struck,2/01/2005,09.30.00,Sunday,1,OFF CARRIAGEWAY ON RIGHT BEND                ,180,Country,VCS,E,ALPINE,Day,194560,194560,N,50,3699,NORTH EASTERN REGION,Not at intersection,42005001335,42005001335,8,2699340.753,2515790.043,9,7,-36.8366,1,147.23525,1,1,1,0,0,0,1,5,2,100
Collision with a fixed object,2/01/2005,20.15.00,Sunday,1,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE       ,171,Country,VCS,H,BENALLA,Dusk/Dawn,215881,215881,N,33,3672,NORTH EASTERN REGION,Not at intersection,42005001340,42005001340,4,2586265.901,2555169.372,9,9,-36.49886,2,145.963,1,1,1,0,0,0,1,5,2,100
Collision with vehicle,2/01/2005,18.20.00,Sunday,1,CROSS TRAFFIC(INTERSECTIONS ONLY)              ,110,Other Towns,VCS,B,ALPINE,Day,54352,54352,I,660,3740,NORTH EASTERN REGION,Cross intersection,42005001497,42005001497,1,2653836.466,2546742.136,9,7,-36.56622,1,146.71886,2,2,0,2,0,0,1,1,3,60
Vehicle overturned (no collision),2/01/2005,15.30.00,Sunday,1,OFF CARRIAGEWAY ON RIGHT BEND                ,180,Country,VCS,E,ALPINE,Day,194605,194605,N,49,3740,NORTH EASTERN REGION,Not at intersection,42005001513,42005001513,6,2662296.162,2550284.156,9,2,-36.53289,1,146.81261,1,1,1,0,0,0,1,5,2,100
Vehicle overturned (no collision),2/01/2005,15.20.00,Sunday,1,OFF CARRIAGEWAY TO RIGHT                  ,172,Country,VCS,E,WODONGA,Day,194633,194633,N,35,3691,NORTH EASTERN REGION,Not at intersection,42005001541,42005001541,6,2657846.511,2600677.852,9,3,-36.07955,1,146.75257,1,1,0,1,0,0,1,5,3,110
Collision with vehicle,2/01/2005,14.20.00,Sunday,1,RIGHT REAR.                         ,132,Metropolitan Excluding CBD,MEL,J,MANNINGHAM,Day,88354,88354,N,48,3132,METROPOLITAN SOUTH EAST REGION,Not at intersection,42005001745,42005001745,1,2516690.356,2410714.232,40,5,-37.80443,1,145.18953,2,3,0,1,0,2,1,5,3,60
No collision and no object struck,2/01/2005,11.15.00,Sunday,1,OFF CARRIAGEWAY TO RIGHT                  ,172,Metropolitan Excluding CBD,MEL,H,KNOX,Day,194611,194611,N,65,3154,METROPOLITAN SOUTH EAST REGION,Not at intersection,42005001954,42005001954,8,2528278.216,2404168.086,40,10,-37.86313,1,145.32137,2,4,1,0,0,3,2,5,2,50
Collision with vehicle,2/01/2005,21.30.00,Sunday,1,RIGHT THROUGH                        ,121,Metropolitan Excluding CBD,MEL,F,BANYULE,Dusk/Dawn,38135,38135,I,31,3081,METROPOLITAN NORTH WEST REGION,Cross intersection,42005002265,42005002265,1,2504061.228,2416644.526,40,3,-37.75114,2,145.04609,2,9,1,0,0,8,1,1,2,60
Collision with a fixed object,2/01/2005,14.30.00,Sunday,1,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE       ,171,Country,MEL,K,YARRA RANGES,Day,194910,194910,N,308,3139,METROPOLITAN SOUTH EAST REGION,Not at intersection,42005002606,42005002606,4,2548392.77,2403926.635,40,10,-37.86448,1,145.54998,1,2,1,1,0,0,1,5,2,100
Collision with a fixed object,2/01/2005,16.27.00,Sunday,1,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE          ,183,Country,VCS,F,MITCHELL,Day,194948,194948,N,61,3660,NORTHERN REGION,Not at intersection,42005004361,42005004361,4,2525520.784,2496472.173,9,2,-37.03145,1,145.28687,2,4,3,0,0,1,1,5,2,100
Collision with a fixed object,2/01/2005,06.30.00,Sunday,1,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE      ,173,Metropolitan Excluding CBD,MEL,C,BRIMBANK,Day,194553,194553,N,26,3021,METROPOLITAN NORTH WEST REGION,Not at intersection,22005001204,22005001204,4,2483169.206,2416059.03,40,4,-37.75627,1,144.80899,1,2,1,1,0,0,1,5,2,60
Collision with a fixed object,2/01/2005,13.25.00,Sunday,1,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE       ,171,Country,VCS,B,WEST WIMMERA,Day,194559,194559,N,24,3419,WESTERN REGION,Not at intersection,22005001229,22005001229,4,2145861.164,2564314.193,9,7,-36.3542,1,141.05307,1,2,0,1,0,1,1,5,3,100
Collision with vehicle,2/01/2005,21.30.00,Sunday,1,VEHICLE OFF FOOTPATH STRIKES VEH ON CARRIAGEWAY,148,Metropolitan Excluding CBD,MEL,C,BRIMBANK,Dark Street lights on,1250,1250,I,26,3021,METROPOLITAN NORTH WEST REGION,T intersection,22005001457,22005001457,1,2483305.745,2415831.613,40,5,-37.75832,3,144.81054,2,2,0,1,0,1,1,2,3,60
Collision with vehicle,2/01/2005,18.05.00,Sunday,1,RIGHT REAR.                         ,132,Other Towns,VCS,T,SURF COAST,Day,194636,194636,N,525,3231,SOUTH WESTERN REGION,Not at intersection,22005001777,22005001777,1,2422046.859,2337806.654,9,9,-38.45809,1,144.10704,2,3,0,3,0,0,1,5,3,60
Struck Pedestrian,2/01/2005,13.45.00,Sunday,1,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,100,Other Towns,MEL,B,QUEENSCLIFFE,Day,50304,50304,N,500,3225,SOUTH WESTERN REGION,T intersection,22005001810,22005001810,2,2467358.902,2358747.504,40,1,-38.27218,1,144.62702,1,4,1,0,0,3,1,2,2,70
Vehicle overturned (no collision),2/01/2005,08.00.00,Sunday,1,OFF CARRIAGEWAY ON RIGHT BEND                ,180,Country,VCS,A,COLAC OTWAY,Day,194569,194569,N,101,3233,SOUTH WESTERN REGION,Not at intersection,22005002019,22005002019,6,2372782.835,2294443.136,9,7,-38.84309,1,143.53514,1,1,1,0,0,0,1,5,2,100
Collision with vehicle,2/01/2005,00.15.00,Sunday,1,RIGHT THROUGH                        ,121,Metropolitan Excluding CBD,MEL,J,MELBOURNE,Dark Street lights on,36408,36408,I,2B,3002,METROPOLITAN NORTH WEST REGION,Cross intersection,12005001600,12005001600,1,2497636.268,2410321.506,40,12,-37.80811,3,144.97316,2,6,0,1,0,5,1,1,3,60
Collision with vehicle,2/01/2005,01.05.00,Sunday,1,RIGHT THROUGH                        ,121,Metropolitan Excluding CBD,MEL,C,PORT PHILLIP,Dark Street lights on,40096,40096,I,2P,3182,METROPOLITAN NORTH WEST REGION,Cross intersection,12005001606,12005001606,1,2498274.696,2404786.717,40,3,-37.85798,3,144.98039,2,2,0,1,0,1,1,1,3,60
Collision with vehicle,2/01/2005,14.30.00,Sunday,1,LEFT REAR                          ,131,Metropolitan Excluding CBD,MEL,J,PORT PHILLIP,Day,29456,29456,I,2J,3206,METROPOLITAN NORTH WEST REGION,T intersection,12005001625,12005001625,1,2495719.977,2405769.528,40,11,-37.84912,1,144.95137,2,2,0,1,0,1,1,2,3,60
Collision with vehicle,2/01/2005,23.10.00,Sunday,1,STRUCK TRAIN                        ,192,Metropolitan Excluding CBD,MEL,E,BAYSIDE,Dark Street lights unknown,42181,42181,I,77,3189,METROPOLITAN SOUTH EAST REGION,Cross intersection,12005001824,12005001824,1,2503458.068,2395151.11,40,8,-37.94479,6,145.03934,2,2,1,0,0,1,1,1,2,60
Collision with vehicle,2/01/2005,16.30.00,Sunday,1,REAR END(VEHICLES IN SAME LANE)               ,130,Metropolitan Excluding CBD,MEL,F,MELBOURNE,Day,194685,194685,N,56,3207,METROPOLITAN NORTH WEST REGION,Not at intersection,12005002475,12005002475,1,2492353.913,2407542.087,40,1,-37.83313,1,144.91314,3,4,0,2,0,2,2,5,3,100
Collision with a fixed object,2/01/2005,18.24.00,Sunday,1,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE       ,171,Metropolitan Excluding CBD,MEL,E,MELBOURNE,Day,194710,194710,N,2E,3008,METROPOLITAN NORTH WEST REGION,Not at intersection,12005003053,12005003053,4,2494809.483,2408375.236,40,10,-37.82564,1,144.94104,1,1,0,1,0,0,1,5,3,100
Collision with vehicle,2/01/2005,10.15.00,Sunday,1,VEHICLE STRIKES DOOR OF PARKED/STATIONARY VEHICLE      ,163,Metropolitan Excluding CBD,MEL,J,PORT PHILLIP,Day,40063,40063,N,2N,3182,METROPOLITAN NORTH WEST REGION,T intersection,12005003987,12005003987,1,2497565.641,2404255.347,40,6,-37.86277,1,144.97233,3,3,2,0,0,1,2,2,2,60
Collision with vehicle,2/01/2005,15.20.00,Sunday,1,HEAD ON (NOT OVERTAKING)                  ,120,Metropolitan Excluding CBD,MEL,E,MORNINGTON PENINSULA,Day,194539,194539,N,168,3941,METROPOLITAN SOUTH EAST REGION,Not at intersection,52005001444,52005001444,1,2483958.093,2346055.171,40,8,-38.38694,1,144.81641,2,5,0,4,0,1,1,5,3,999
Struck animal,2/01/2005,17.55.00,Sunday,1,STRUCK ANIMAL                        ,167,Country,VCS,D,WELLINGTON,Day,194649,194649,N,99,3851,EASTERN REGION,Not at intersection,52005001725,52005001725,3,2687079.361,2376490.654,9,3,-38.09404,1,147.1328,1,1,0,1,0,0,1,5,3,100
Collision with a fixed object,2/01/2005,09.30.00,Sunday,1,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE          ,181,Country,VCS,G,BAW BAW,Day,194637,194637,N,96,3821,EASTERN REGION,Not at intersection,52005001747,52005001747,4,2581879.51,2380244.408,9,3,-38.07548,1,145.93317,1,1,0,1,0,0,2,5,3,100
Collision with a fixed object,2/01/2005,15.15.00,Sunday,1,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE          ,181,Country,VCS,B,SOUTH GIPPSLAND,Day,194711,194711,N,103,3957,EASTERN REGION,Not at intersection,52005003057,52005003057,4,2594947.36,2321714.74,9,3,-38.60142,1,146.08973,1,3,0,3,0,0,1,5,3,100
Collision with vehicle,2/01/2005,08.25.00,Sunday,1,REAR END(VEHICLES IN SAME LANE)               ,130,Metropolitan Excluding CBD,MEL,F,DANDENONG,Day,194916,194916,N,91A,3175,METROPOLITAN SOUTH EAST REGION,Not at intersection,52005004473,52005004473,1,2519131.487,2389516.231,40,11,-37.99537,1,145.2178,2,3,0,3,0,0,1,5,3,80
Collision with a fixed object,3/01/2005,22.30.00,Monday,2,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE       ,171,Metropolitan Excluding CBD,MEL,K,MORELAND,Dark Street lights on,43330,43330,I,17,3058,METROPOLITAN NORTH WEST REGION,T intersection,32005002068,32005002068,4,2497504.414,2418898.01,40,9,-37.73084,3,144.97169,1,3,0,3,0,0,1,2,3,50
Collision with vehicle,3/01/2005,12.45.00,Monday,2,HEAD ON (NOT OVERTAKING)                  ,120,Country,MEL,C,YARRA RANGES,Day,194487,194487,N,270,3777,METROPOLITAN SOUTH EAST REGION,Not at intersection,42005000778,42005000778,1,2545818.219,2431759.145,40,2,-37.61383,1,145.519,2,2,1,1,0,0,1,5,2,80
